id,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,adult,first_air_date,last_air_date,in_production,original_name,popularity,type,status,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
71446,Money Heist,3,41,es,17836,8.257,False,5/2/17,12/3/21,False,La Casa de Papel,96.354,Scripted,Ended,Crime,Álex Pina,es,netflix,ES,Español,Vancouver Media,Spain,70
71446,Money Heist,3,41,es,17836,8.257,False,5/2/17,12/3/21,False,La Casa de Papel,96.354,Scripted,Ended,Drama,Álex Pina,es,netflix,ES,Español,Vancouver Media,Spain,70
66732,Stranger Things,4,34,en,16161,8.624,False,7/15/16,7/1/22,True,Stranger Things,185.711,Scripted,Returning Series,Drama,"Matt Duffer, Ross Duffer",en,netflix,US,English,"21 Laps Entertainment, Monkey Massacre Productions",United States of America,0
66732,Stranger Things,4,34,en,16161,8.624,False,7/15/16,7/1/22,True,Stranger Things,185.711,Scripted,Returning Series,Sci-Fi & Fantasy,"Matt Duffer, Ross Duffer",en,netflix,US,English,"21 Laps Entertainment, Monkey Massacre Productions",United States of America,0
66732,Stranger Things,4,34,en,16161,8.624,False,7/15/16,7/1/22,True,Stranger Things,185.711,Scripted,Returning Series,Mystery,"Matt Duffer, Ross Duffer",en,netflix,US,English,"21 Laps Entertainment, Monkey Massacre Productions",United States of America,0
63174,Lucifer,6,93,en,13870,8.486,False,1/25/16,9/10/21,False,Lucifer,416.668,Scripted,Ended,Crime,Tom Kapinos,en,fox,US,English,"Warner Bros. Television, DC Entertainment, Jerry Bruckheimer Television, DC Vertigo",United States of America,45
63174,Lucifer,6,93,en,13870,8.486,False,1/25/16,9/10/21,False,Lucifer,416.668,Scripted,Ended,Sci-Fi & Fantasy,Tom Kapinos,en,fox,US,English,"Warner Bros. Television, DC Entertainment, Jerry Bruckheimer Television, DC Vertigo",United States of America,45
63174,Lucifer,6,93,en,13870,8.486,False,1/25/16,9/10/21,False,Lucifer,416.668,Scripted,Ended,Crime,Tom Kapinos,en,netflix,US,English,"Warner Bros. Television, DC Entertainment, Jerry Bruckheimer Television, DC Vertigo",United States of America,45
63174,Lucifer,6,93,en,13870,8.486,False,1/25/16,9/10/21,False,Lucifer,416.668,Scripted,Ended,Sci-Fi & Fantasy,Tom Kapinos,en,netflix,US,English,"Warner Bros. Television, DC Entertainment, Jerry Bruckheimer Television, DC Vertigo",United States of America,45
93405,Squid Game,2,9,ko,13053,7.831,False,9/17/21,9/17/21,True,오징어 게임,115.587,Scripted,Returning Series,Action & Adventure,Hwang Dong-hyuk,"en, ko, ur",netflix,KR,"English, 한국어/조선말, اردو","Siren Pictures, Firstman Studio",South Korea,0
93405,Squid Game,2,9,ko,13053,7.831,False,9/17/21,9/17/21,True,오징어 게임,115.587,Scripted,Returning Series,Mystery,Hwang Dong-hyuk,"en, ko, ur",netflix,KR,"English, 한국어/조선말, اردو","Siren Pictures, Firstman Studio",South Korea,0
93405,Squid Game,2,9,ko,13053,7.831,False,9/17/21,9/17/21,True,오징어 게임,115.587,Scripted,Returning Series,Drama,Hwang Dong-hyuk,"en, ko, ur",netflix,KR,"English, 한국어/조선말, اردو","Siren Pictures, Firstman Studio",South Korea,0
85271,WandaVision,1,9,en,11308,8.3,False,1/15/21,3/5/21,False,WandaVision,62.893,Miniseries,Ended,Sci-Fi & Fantasy,Jac Schaeffer,en,disney+,US,English,Marvel Studios,United States of America,0
85271,WandaVision,1,9,en,11308,8.3,False,1/15/21,3/5/21,False,WandaVision,62.893,Miniseries,Ended,Mystery,Jac Schaeffer,en,disney+,US,English,Marvel Studios,United States of America,0
85271,WandaVision,1,9,en,11308,8.3,False,1/15/21,3/5/21,False,WandaVision,62.893,Miniseries,Ended,Drama,Jac Schaeffer,en,disney+,US,English,Marvel Studios,United States of America,0
1418,The Big Bang Theory,12,279,en,10322,7.879,False,9/24/07,5/16/19,False,The Big Bang Theory,344.121,Scripted,Ended,Comedy,"Chuck Lorre, Bill Prady",en,cbs,US,English,"Chuck Lorre Productions, Warner Bros. Television",United States of America,22
84958,Loki,2,12,en,10136,8.2,False,6/9/21,7/14/21,True,Loki,276.759,Scripted,Returning Series,Drama,Michael Waldron,en,disney+,US,English,Marvel Studios,United States of America,52
84958,Loki,2,12,en,10136,8.2,False,6/9/21,7/14/21,True,Loki,276.759,Scripted,Returning Series,Sci-Fi & Fantasy,Michael Waldron,en,disney+,US,English,Marvel Studios,United States of America,52
82856,The Mandalorian,3,24,en,9353,8.5,False,11/12/19,4/19/23,True,The Mandalorian,154.48,Scripted,Returning Series,Sci-Fi & Fantasy,Jon Favreau,en,disney+,US,English,"Lucasfilm Ltd., Golem Creations, Fairview Entertainment",United States of America,0
82856,The Mandalorian,3,24,en,9353,8.5,False,11/12/19,4/19/23,True,The Mandalorian,154.48,Scripted,Returning Series,Action & Adventure,Jon Favreau,en,disney+,US,English,"Lucasfilm Ltd., Golem Creations, Fairview Entertainment",United States of America,0
82856,The Mandalorian,3,24,en,9353,8.5,False,11/12/19,4/19/23,True,The Mandalorian,154.48,Scripted,Returning Series,Drama,Jon Favreau,en,disney+,US,English,"Lucasfilm Ltd., Golem Creations, Fairview Entertainment",United States of America,0
456,The Simpsons,35,762,en,9136,7.999,False,12/17/89,10/1/23,True,The Simpsons,439.488,Scripted,Returning Series,Family,Matt Groening,en,fox,US,English,"Gracie Films, 20th Century Fox Television, 20th Television Animation, 20th Television",United States of America,22
456,The Simpsons,35,762,en,9136,7.999,False,12/17/89,10/1/23,True,The Simpsons,439.488,Scripted,Returning Series,Animation,Matt Groening,en,fox,US,English,"Gracie Films, 20th Century Fox Television, 20th Television Animation, 20th Television",United States of America,22
456,The Simpsons,35,762,en,9136,7.999,False,12/17/89,10/1/23,True,The Simpsons,439.488,Scripted,Returning Series,Comedy,Matt Groening,en,fox,US,English,"Gracie Films, 20th Century Fox Television, 20th Television Animation, 20th Television",United States of America,22
